player_name,first_serve_pct,first_serve_win_pct,second_serve_win_pct
Jarkko Nieminen,62.4,69.5,50.8
Marinko Matosevic,58.7,71.2,48.6
Sam Querrey,61.1,78.5,51.5
Sam Groth,60.5,80.1,50.2
Nicolas Mahut,62.5,75.3,52.4
Jeremy Chardy,59.8,74.1,51.8
Feliciano Lopez,61.3,77.8,52.5
Lleyton Hewitt,58.9,71.4,50.7
Marius Copil,62.1,76.5,50.1
Grigor Dimitrov,62.8,77.0,52.7
Marin Cilic,58.4,78.6,51.9
Matthew Ebden,63.1,71.5,50.4
Roger Federer,62.1,77.4,56.8
Kei Nishikori,60.8,69.8,51.3
Benjamin Becker,59.5,72.4,49.8
Aljaz Bedene,60.2,71.9,50.5
Alexander Kudryavtsev,61.4,70.2,49.1
Yuki Bhambri,62.7,68.9,50.3
Yen Hsun Lu,60.3,70.1,51.1
Vasek Pospisil,61.8,76.2,50.9
Marcel Granollers,63.5,69.4,51.2
Ramkumar Ramanathan,60.1,73.4,49.5
Guillermo Garcia Lopez,59.2,70.8,50.1
Edouard Roger-Vasselin,62.3,71.5,50.6
Jiri Vesely,61.7,74.3,50.2
Dudi Sela,64.1,67.8,49.7
Stan Wawrinka,59.2,73.1,51.5
Benoit Paire,56.8,74.5,48.2
Rafael Nadal,68.3,71.9,57.4
Tobias Kamke,60.4,68.5,49.9
Lukasz Kubot,62.1,72.4,50.3
Ernests Gulbis,57.5,76.1,49.4
Ivo Karlovic,65.5,82.7,53.2
Dustin Brown,60.8,75.2,48.7
Peter Gojowczyk,59.1,72.8,49.5
Philipp Kohlschreiber,61.5,72.1,51.8
Fernando Verdasco,62.8,72.5,50.6
Victor Hanescu,64.2,71.8,50.1
Florian Mayer,63.7,69.9,50.4
Andy Murray,58.4,71.5,51.2
Richard Gasquet,61.9,72.6,51.4
Gael Monfils,61.3,73.8,50.9
Daniel Brands,60.5,75.4,50.1
David Ferrer,63.8,68.5,51.7
Donald Young,60.2,69.7,49.8
Santiago Giraldo,61.4,69.2,50.2
Steve Johnson,60.5,74.8,51.3
Bradley Klahn,61.2,71.4,50.1
Horacio Zeballos,64.5,70.5,50.8
Lukas Lacko,60.1,71.2,49.7
Roberto Bautista Agut,65.2,69.8,52.1
Jack Sock,60.8,74.5,51.2
John Isner,69.1,78.7,56.1
Radek Stepanek,62.3,71.1,50.9
Albert Ramos,64.7,68.5,51.2
Lukas Rosol,60.3,73.6,49.5
Denis Istomin,62.4,72.1,50.4
Julien Benneteau,61.5,71.2,50.8
Sergiy Stakhovsky,60.9,72.8,50.1
Bernard Tomic,64.2,72.5,50.7
Blaz Kavcic,61.8,68.7,49.6
Alexandr Dolgopolov,57.8,74.5,49.2
Juan Martin del Potro,63.5,76.2,52.4
Dmitry Tursunov,60.1,73.4,50.2
Thanasi Kokkinakis,62.5,74.8,51.1
Andreas Seppi,61.2,70.5,50.4
Dusan Lajovic,64.5,70.1,51.6
Milos Raonic,62.9,81.4,54.8
Nick Kyrgios,65.3,77.5,53.1
