player_name,aggression_score,court_depth_score
Dennis Novikov,53,41
Carl Soderlund,53,48
Calvin Hemery,54,45
Louis Wessels,64,46
Grega Zemlja,35,37
Nicolas Kicker,34,34
Brian Baker,57,42
Rohan Bopanna,53,41
Matwe Middelkoop,54,42
Yaraslav Shyla,54,43
Nicolas Alvarez,45,42
Ti Chen,38,37
Kittipong Wachiramanowong,43,39
Tristan Lamasine,40,39
Nikola Cacic,38,37
Steven Diez,35,41
Denis Shapovalov,85,70
Reilly Opelka,90,35
Jan Satral,45,42
Alessandro Giannessi,45,42
Kuan Yi Lee,42,51
Tsung Hua Yang,38,37
Alen Avidzba,38,37
Alexey Vatutin,40,35
Dmitry Popko,40,41
William Westphal,42,51
Ryan Shane,41,50
Ryan Harrison,39,41
Franko Skugor,53,41
Anton Zaitcev,38,37
Akira Santillan,46,42
Illya Marchenko,49,38
Mitchell Krueger,40,39
Daniel Muñoz De La Nava,42,40
Michael Russell,40,43
Roberto Quiroz,42,40
Jordi Munoz Abreu,35,35
Ayed Zatar,34,34
Bruno Britez,36,36
Rodrigo Banzer,35,35
Vladimir Ivanov,42,40
George Tsivadze,34,34
Alberto Lim,34,34
Jirat Navasirisomboon,35,35
Reda El Amrani,41,38
Soren Hess Olesen,46,37
Manuel Sanchez,38,37
Thomas Oger,35,35
Simen Sunde Bratholm,35,35
Hamid Reza Nadaf,35,35
Patrik Rosenholm,36,44
Victor Anagnastopoulos,36,36
Luca Pancaldi,34,34
Pau Nadal,42,40
Mohamed Safwat,43,39
Baris Erguden,37,44
Rafael Matos,40,35
Hugo Dellien,38,37
Luka Mikrut,37,44
Daniel Vallejo,38,37
Ozan Baris,42,40
Mitchell Frank,36,36
Johan Nikles,39,37
Santiago Fa Rodriguez Taverna,39,37
Jared Hiltzik,38,37
Lorenzo Rottoli,40,44
Hiroki Moriya,32,34
Jason Jung,34,40
Joao Menezes,38,37
Ryan Thacher,52,43
Daniil Trifonov,45,42
Peter Gojowczyk,44,38
Ken Onuma,35,35
Christopher Oconnell,40,39
Robert Strombachs,43,39
Colton Smith,42,40
Marcelo Tomas Barrios Vera,37,44
Enzo Couacaud,41,38
Ergi Kirkin,38,37
Yuki Bhambri,43,39
James Duckworth,43,39
Yannick Hanfmann,49,38
Rafa Nadal,40,39
Nicolas Jarry,54,43
Marcos Baghdatis,41,43
Edouard Roger Vasselin,42,40
Tobias Kamke,32,34
Andrea Collarini,34,34
Arthur Rinderknech,53,45
Yasutaka Uchiyama,34,33
Adrian Menendez Maceiras,38,37
Marcos Giron,40,39
Mats Moraing,50,39
Gerald Melzer,41,38
Adrian Sanchez,35,35
Alessandro Bega,41,38
Daniel Masur,41,38
Marsel Ilhan,42,40
Keegan Smith,41,50
Marcelo Arevalo,40,35
Yannick Maden,43,39
Ariel Behar,41,38
Federico Ciuffo,40,39
Nikita Mashtakov,35,35
Teymuraz Gabashvili,38,37
Alexei Popyrin,49,40
Filip Krajinovic,41,38
Alexandre Muller,33,34
Juan Pablo Varillas,35,35
Emil Ruusuvuori,41,38
Andres Martin,39,45
Roberto Bautista Agut,34,34
Carlos Alcaraz,57,57
Botic Van De Zandschulp,42,40
Tomas Martin Etcheverry,49,47
Pablo Carreno Busta,40,39
Dominic Thiem,44,42
Lorenzo Musetti,40,45
Joao Sousa,40,39
Dusan Lajovic,38,37
Hamish Stewart,38,49
Lukas Lacko,41,38
Vincent Millot,38,37
Jozef Kovalik,38,37
Hady Habib,46,42
Nino Serdarusic,39,37
Mohamed Laamri,34,34
Kelsey Stevenson,44,53
Seba Fernandez,37,44
Marek Jaloviec,35,35
Emilio Gomez,42,40
Carlos Taberner,36,36
Serhiy Stakhovsky,42,40
Ulises Blanch,40,39
Julian Lenz,42,40
Mikhail Youzhny,38,37
Marius Copil,51,40
Ivan Gakhov,44,42
Bastien Fachan,41,50
Alejandro Tabilo,41,42
Aljaz Bedene,37,44
Kyle Edmund,47,43
Radu Albot,35,35
Tennys Sandgren,40,43
Felix Auger Aliassime,42,48
Fernando Verdasco,44,38
Andrey Rublev,44,49
Tomas Berdych,49,36
Philipp Kohlschreiber,42,40
Andy Roddick,44,49
Sam Querrey,51,40
Lleyton Hewitt,34,34
Ernests Gulbis,41,43
Albert Ramos,37,44
Lucas Pouille,42,48
Janko Tipsarevic,41,38
Alexander Bublik,48,57
Jo Wilfried Tsonga,45,40
Kevin Anderson,51,40
Milos Raonic,54,43
Gael Monfils,37,44
Adrian Mannarino,34,40
Pierre Hugues Herbert,43,45
Sergiy Stakhovsky,42,40
Andreas Seppi,40,44
Mikhail Kukushkin,40,39
Mackenzie Mcdonald,34,40
Rafael Nadal,40,39
Thiago Monteiro,35,35
Nikolay Davydenko,39,41
Marin Cilic,45,40
Kei Nishikori,37,44
David Ferrer,34,34
Borna Coric,38,37
Yoshihito Nishioka,32,34
Alex De Minaur,35,35
Jaume Munar,36,36
Miomir Kecmanovic,39,37
Jannik Sinner,43,45
Hubert Hurkacz,53,45
Hugo Gaston,33,34
Christopher Eubanks,44,48
Cameron Norrie,38,42
Karen Khachanov,49,40
Frances Tiafoe,39,41
Matteo Berrettini,52,43
Stefanos Tsitsipas,45,40
Ben Shelton,92,75
Sebastian Korda,42,40
Jack Draper,43,45
Tommy Paul,35,35
Holger Rune,41,43
Jakub Mensik,57,57
Arthur Fils,38,46
Alexander Shevchenko,38,37
Luciano Darderi,40,35
Daniel Altmaier,40,39
Brandon Nakashima,41,38
Tomas Machac,38,37
Nuno Borges,37,44
Marcos Giron,40,39
Talllon Griekspoor,49,40
Jiri Lehecka,44,42
Learner Tien,34,46
Hamad Medjedovic,44,56
Giovanni Mpetshi Perricard,57,57
Joao Fonseca,42,48
Valentin Vacherot,40,39
Francisco Cerundolo,41,38
Zizou Bergs,40,45
Matteo Arnaldi,40,39
Gabriel Diallo,52,48
Ethan Quinn,45,51
Valentin Royer,39,45
Guy Den Ouden,38,37
Eubanks Christopher,44,48
Grega Zemlja,35,37
Nicolas Alvarez,45,42
Nicolas Kicker,34,34
Brian Baker,57,42
Rohan Bopanna,53,41
Matwe Middelkoop,54,42
Yaraslav Shyla,54,43
Ti Chen,38,37
Kittipong Wachiramanowong,43,39
Tristan Lamasine,40,39
Nikola Cacic,38,37
Steven Diez,35,41
Jan Satral,45,42
Alessandro Giannessi,45,42
Kuan Yi Lee,42,51
Tsung Hua Yang,38,37
Alen Avidzba,38,37
Alexey Vatutin,40,35
Dmitry Popko,40,41
William Westphal,42,51
Ryan Shane,41,50
Ryan Harrison,39,41
Franko Skugor,53,41
Anton Zaitcev,38,37
Akira Santillan,46,42
Illya Marchenko,49,38
Mitchell Krueger,40,39
Daniel Munoz De La Nava,42,40
Michael Russell,40,43
Roberto Quiroz,42,40
Jordi Munoz Abreu,35,35
Ayed Zatar,34,34
Bruno Britez,36,36
Rodrigo Banzer,35,35
Vladimir Ivanov,42,40
George Tsivadze,34,34
Alberto Lim,34,34
Jirat Navasirisomboon,35,35
Reda El Amrani,41,38
Soren Hess Olesen,46,37
Thomas Oger,35,35
Simen Sunde Bratholm,35,35
Hamid Reza Nadaf,35,35
Patrik Rosenholm,36,44
Victor Anagnastopoulos,36,36
Luca Pancaldi,34,34
Pau Nadal,42,40
Mohamed Safwat,43,39
Baris Erguden,37,44
Rafael Matos,40,35
Hugo Dellien,38,37
Luka Mikrut,37,44
Daniel Vallejo,38,37
Ozan Baris,42,40
Mitchell Frank,36,36
Johan Nikles,39,37
Santiago Fa Rodriguez Taverna,39,37
Jared Hiltzik,38,37
Lorenzo Rottoli,40,44
Hiroki Moriya,32,34
Jason Jung,34,40
Joao Menezes,38,37
Ryan Thacher,52,43
Daniil Trifonov,45,42
Peter Gojowczyk,44,38
Ken Onuma,35,35
Christopher Oconnell,40,39
Robert Strombachs,43,39
Colton Smith,42,40
Marcelo Tomas Barrios Vera,37,44
Enzo Couacaud,41,38
Ergi Kirkin,38,37
Yuki Bhambri,43,39
James Duckworth,43,39
Yannick Hanfmann,49,38
Edouard Roger Vasselin,42,40
Tobias Kamke,32,34
Andrea Collarini,34,34
Arthur Rinderknech,53,45
Yasutaka Uchiyama,34,33
Adrian Menendez Maceiras,38,37
Mats Moraing,50,39
Gerald Melzer,41,38
Adrian Sanchez,35,35
Alessandro Bega,41,38
Daniel Masur,41,38
Marsel Ilhan,42,40
Keegan Smith,41,50
Yannick Maden,43,39
Ariel Behar,41,38
Federico Ciuffo,40,39
Nikita Mashtakov,35,35
Teymuraz Gabashvili,38,37
Alexandre Muller,33,34
Juan Pablo Varillas,35,35
Ugo Humbert,72,60
Hady Habib,46,42
Nino Serdarusic,39,37
Mohamed Laamri,34,34
Kelsey Stevenson,44,53
Seba Fernandez,37,44
Marek Jaloviec,35,35
Emilio Gomez,42,40
Carlos Taberner,36,36
Ulises Blanch,40,39
Julian Lenz,42,40
Marius Copil,51,40
Ivan Gakhov,44,42
Bastien Fachan,41,50
Arklon Huertas Del Pino,41,38
Gunawan Trismuwantara,39,45
Joaquin  Aguilar Cardozo ,39,51
Juncheng Shang,41,47
Martin Landaluce,54,59
Matteo Gigante,40,45
Sebastian Baez,30,25
