player_name
"Jarkko Nieminen"
"Marinko Matosevic"
"Sam Querrey"
"Sam Groth"
"Nicolas Mahut"
"Jeremy Chardy"
"Feliciano Lopez"
"Lleyton Hewitt"
"Marius Copil"
"Grigor Dimitrov"
"Marin Cilic"
"Matthew Ebden"
"Roger Federer"
"Kei Nishikori"
"Benjamin Becker"
"Aljaz Bedene"
"Alexander Kudryavtsev"
"Yuki Bhambri"
"Yen Hsun Lu"
"Vasek Pospisil"
"Marcel Granollers"
"Ramkumar Ramanathan"
"Guillermo Garcia Lopez"
"Edouard Roger-Vasselin"
"Jiri Vesely"
"Dudi Sela"
"Stan Wawrinka"
"Benoit Paire"
"Rafael Nadal"
"Tobias Kamke"
"Lukasz Kubot"
"Ernests Gulbis"
"Ivo Karlovic"
"Dustin Brown"
"Peter Gojowczyk"
"Philipp Kohlschreiber"
"Fernando Verdasco"
"Victor Hanescu"
"Florian Mayer"
"Andy Murray"
"Richard Gasquet"
"Gael Monfils"
"Daniel Brands"
"David Ferrer"
"Donald Young"
"Santiago Giraldo"
"Steve Johnson"
"Bradley Klahn"
"Horacio Zeballos"
"Lukas Lacko"
"Roberto Bautista Agut"
"Jack Sock"
"John Isner"
"Radek Stepanek"
"Albert Ramos"
"Lukas Rosol"
"Denis Istomin"
"Julien Benneteau"
"Sergiy Stakhovsky"
"Bernard Tomic"
"Blaz Kavcic"
"Alexandr Dolgopolov"
"Juan Martin del Potro"
"Dmitry Tursunov"
"Thanasi Kokkinakis"
"Andreas Seppi"
"Dusan Lajovic"
"Milos Raonic"
"Nick Kyrgios"
"Vincent Millot"
"Michael Berrer"
"Stephane Robert"
"Michal Przysiezny"
"Blaz Rola"
"Martin Klizan"
"Jo-Wilfried Tsonga"
"Thomaz Bellucci"
"Gilles Simon"
"Teymuraz Gabashvili"
"Tomas Berdych"
"Kenny De Schepper"
"Damir Dzumhur"
"Ivan Dodig"
"Kevin Anderson"
"Dominic Thiem"
"Mikhail Youzhny"
"Pablo Andujar"
"Jerzy Janowicz"
"Adrian Mannarino"
"Alejandro Falla"
"Tommy Robredo"
"Nikolay Davydenko"
"Fabio Fognini"
"Leonardo Mayer"
"Novak Djokovic"
"Di Wu"
"Ze Zhang"
"Jose Hernandez"
"Victor Estrella"
"Jose Olivares"
"Santiago Maresca"
"Julio Cesar Campozano"
"Emilio Gomez"
"Ricardo Rodriguez"
"Somdev Devvarman"
"Saketh Myneni"
"Joao Sousa"
"Frederico Ferreira Silva"
"Andrej Martin"
"Illya Marchenko"
"Gonzalo Lama"
"Darian King"
"Jorge Aguilar"
"Mirza Basic"
"Markos Kalovelonis"
"Dzmitry Zhyrmont"
"Egor Gerasimov"
"John Morrissey"
"Mauricio Echazu"
"Hugo Dellien"
"Sergio Galdos"
"Martin Pedersen"
"Frederik Nielsen"
"Mikael Torpegaard"
"Petros Chrysochos"
"Dimitar Kutrovsky"
"Tihomir Grozdanov"
"Miguel Angel Reyes Varela"
"Christopher Diaz Figueroa"
"Miguel Gallardo Valles"
"Mohammad Ghareeb"
"Abdullah Maqdas"
"Aditya Hari Sasongko"
"Gilles Muller"
"Hicham Khaddari"
"Younes Rachidi"
"Mohamed Safwat"
"Radu Albot"
"Maxim Dubarenco"
"Laurynas Grigelis"
"Ricardas Berankis"
"Lukas Mugevicius"
"Mantas Bugailiskis"
"Marcelo Arevalo"
"Rafael Arevalo"
"Juan Carlos Ramirez"
"Juan Borba"
"Romain Arneodo"
"Nicolaas Scholtz"
"Rik De Voest"
"Harshana Godamanna"
"Ruben Gonzales"
"Treat Conrad Huey"
"Carlos Berlocq"
"Robin Haase"
"Igor Sijsling"
"Frank Dancevic"
"Go Soeda"
"Mikhail Kukushkin"
"Andrey Golubev"
"David Goffin"
"Filip Krajinovic"
"James Ward"
"Paul Henri Mathieu"
"Albano Olivetti"
"Pierre Hugues Herbert"
"Marc Gicquel"
"Pablo Carreno Busta"
"Martin Alund"
"Taro Daniel"
"Federico Delbonis"
"Paolo Lorenzi"
"Daniel Gimeno Traver"
"Nicolas Almagro"
"Andrey Kuznetsov"
"Daniel Evans"
"Bjorn Phau"
"Tommy Haas"
"Filippo Volandri"
"Guido Pella"
"Ryan Harrison"
"Alex Bogomolov Jr"
"Marcos Baghdatis"
"Tim Smyczek"
"Michael Russell"
"Alex Kuznetsov"
"Denis Kudla"
"Phillip King"
"Wishaya Trongcharoenchaikul"
"Pruchya Isarow"
"Nutthanon Kadchapanan"
"Aqeel Khan"
"Thien Nguyen Hoang"
"Linh Giang Trinh"
"Rhyne Williams"
"Jan Lennard Struff"
"Michael Llodra"
"Albert Montanes"
"Facundo Bagnis"
"Pablo Cuevas"
"Juan Monaco"
"Malek Jaziri"
"Potito Starace"
"Rogerio Dutra Silva"
"Andreas Haider Maurer"
"Joao Souza"
"Alejandro Gonzalez"
"Evgeny Donskoy"
"Thiemo De Bakker"
"Farrukh Dustov"
"Peter Bertran"
"Juan Sebastian Cabal"
"Yong Kyu Lim"
"Borna Coric"
"Amir Weintraub"
"Norbert Gombos"
"Cristian Garin"
"Alexandros Jakupovic"
"James Mcgee"
"Mazen Osama"
"Sergis Kyratzis"
"Lamine Ouahab"
"Ayoub Chakrouni"
"Benjamin Balleret"
"Minh Quan Do"
"Seanon Williams"
"Duilio Beretta"
"Patrick Tierro"
"Aisam Ul Haq Qureshi"
"Warit Sornbutnark"
"Filip Peliwo"
"Aleksandr Nedovyesov"
"Roberto Carballes Baena"
"Jurgen Melzer"
"Inigo Cervantes Huegun"
"Adrian Ungur"
"Christopher Rungkat"
"Ognian Kolev"
"Gastao Elias"
"Rui Machado"
"Pere Riba"
"Simone Bolelli"
"Mate Delic"
"Jason Kubler"
"Nikola Milojevic"
"Jurgen Zopp"
"Axel Michon"
"Diego Schwartzman"
"James Duckworth"
"Mate Pavic"
"Jesse Huta Galung"
"Jimmy Wang"
"Jan Hernych"
"Tim Puetz"
"Luke Saville"
"Julian Reister"
"Ante Pavic"
"Elias Ymer"
"Christian Lindell"
"Renzo Olivo"
"Austin Krajicek"
"Rajeev Ram"
"Tatsuma Ito"
"Philip Davydenko"
"Louk Sorensen"
"Yann Marti"
"Peter Polansky"
"Alexander Zverev"
"Robby Ginepri"
"Henri Laaksonen"
"Viktor Troicki"
"Maximo Gonzalez"
"Matthias Bachinger"
"Martin Fischer"
"Andrey Rublev"
"Hyeon Chung"
"Martin Cuevas"
"Rodrigo Senattore"
"Tigre Hank"
"Haydn Lewis"
"Nerman Fatic"
"Danai Udomchoke"
"Samir Iftikhar"
"Philipp Petzschner"
"Chuhan Wang"
"Lucas Pouille"
winner_name
"John Millman"
"Nikoloz Basilashvili"
"Michael Venus"
"Steve Darcis"
"Nicolas Jarry"
"Gerald Melzer"
"Jared Donaldson"
"Luca Vanni"
"Yoshihito Nishioka"
"Facundo Arguello"
"Guido Andreozzi"
"Marsel Ilhan"
"Jose Rubin Statham"
"Hans Podlipnik Castillo"
"Marton Fucsovics"
"Gabor Borsos"
"Sunu Wahyu Trijati"
"David Agung Susanto"
"Martins Podzus"
"Dimitar Kuzmanov"
"Alexandar Lazov"
"Antso Rakotondramanga"
"Lofo Ramiaramanana"
"Daniel Garza"
"Francis Casey Alcantara"
"Joao Domingues"
"Alex Llompart"
"Christian Garay"
"Jui Chen Hung"
"Chieh Fu Wang"
"Fritz Wolmarans"
"Cem Ilkel"
"David Souto"
"Luis David Martinez"
"Tomislav Brkic"
"Benjamin Lock"
"Jan Mertl"
"Arthur De Greef"
"Janko Tipsarevic"
"Nikola Mektic"
"Mischa Zverev"
"Matteo Donati"
"Gianni Mina"
"Kyle Edmund"
"Andrea Arnaboldi"
"Marco Chiudinelli"
"Taylor Fritz"
"Liam Broady"
"Yuichi Sugita"
"John Patrick Smith"
"M Abid Ali Khan Akbar"
"Aljaz Radinski"
"Nik Razborsek"
"Oliver Marach"
"Gonzalo Escobar"
"Seong Chan Hong"
"Shahin Khaledan"
"Jean Jacques Rakotohasy"
"Yassine Idmbarek"
"Federico Zeballos"
"Alex Diaz"
"Tucker Vorster"
"Ruan Roelofse"
"Sharmal Dissanayake"
"Hady Habib"
"Takanyi Garanganga"
"Juan Carlos Saez"
"Peter Nagy"
"Kimmer Coppejans"
"Daniel Elahi Galan"
"Alexander Sarkissian"
"Marcelo Demoliner"
"Alejandro Gomez Gb42"
"Adrian Menendez Maceiras"
"Bastian Trinker"
"Jaume Munar"
"Dennis Novak"
"Ruben Bemelmans"
"Mardy Fish"
"Frances Tiafoe"
"Marat Deviatiarov"
"Zhe Li"
"Zhizhen Zhang"
"Hiroki Moriya"
"Yan Bai"
"Aslan Karatsev"
"Nicolas Xiviller"
"Thomas Fabbiano"
"Daniel Munoz de la Nava"
"Matthew Barton"
"Jordan Thompson"
"Quentin Halys"
"Omar Jasika"
"Noah Rubin"
"Marco Trungelliti"
"Thiago Monteiro"
"Franko Skugor"
"Ivan Endara"
"Edan Leshem"
"Konstantin Kravchuk"
"Alexandar Lazarov"
"Ilya Ivashka"
"Christian Sigsgaard"
"Benjamin Hannestad"
"Viktor Durasovic"
"Casper Ruud"
"Lucas Gomez"
"Hans Hach Verdugo"
"Wilfredo Gonzalez"
"Mikelis Libietis"
"Lucas Catarina"
"Miguel Angel Este"
"Jeson Patrombon"
"Sebastian Arcila"
"Ignacio Garcia"
"Lloyd Harris"
"Mohd Assri Merzuki"
"Liang Chi Huang"
"Jorge Brian Panta Herreros"
"Juan Pablo Varillas"
"Nam Hoang Ly"
"Harri Heliovaara"
"Hubert Hurkacz"
"Marco Cecchinato"
"Jozef Kovalik"
"Bjorn Fratangelo"
"Tommy Paul"
"Karen Khachanov"
"Adam Pavlasek"
"Mathias Bourgue"
"Stefan Kozlov"
"Daniil Medvedev"
"Ernesto Escobedo"
"Marcus Willis"
"Dennis Novikov"
"Carl Soderlund"
"Calvin Hemery"
"Louis Wessels"
"Grega Zemlja"
"Nicolas Kicker"
"Brian Baker"
"Rohan Bopanna"
"Matwe Middelkoop"
"Yaraslav Shyla"
"Nicolas Alvarez"
"Ti Chen"
"Kittipong Wachiramanowong"
"Tristan Lamasine"
"Nikola Cacic"
"Steven Diez"
"Denis Shapovalov"
"Reilly Opelka"
"Jan Satral"
"Alessandro Giannessi"
"Kuan Yi Lee"
"Tsung Hua Yang"
"Joris De Loore"
"Marc Lopez"
"Kamil Majchrzak"
"Antoine Bellier"
"Alexandre Sidorenko"
"Andrew Whittington"
"Alexander Bublik"
"Mikael Ymer"
"Brydan Klein"
"Alex De Minaur"
"Tomas Barrios Vera"
"Pedro Sousa"
"Roberto Quiroz"
"Jordi Munoz Abreu"
"Ayed Zatar"
"Bruno Britez"
"Rodrigo Banzer"
"Vladimir Ivanov"
"George Tsivadze"
"Alberto Lim"
"Jirat Navasirisomboon"
"Reda El Amrani"
"Soren Hess Olesen"
"Manuel Sanchez"
"Thomas Oger"
"Simen Sunde Bratholm"
"Hamid Reza Nadaf"
"Patrik Rosenholm"
"Isak Arvidsson"
"Altug Celikbilek"
"Hong Kit Jack Wong"
"Karan Rastogi"
"Yasutaka Uchiyama"
"Giovanni Lapentti"
"Federico Gaio"
"Cedrik Marcel Stebe"
"Yibing Wu"
"Dmitry Popko"
"Prajnesh Gunneswaran"
"Temur Ismailov"
"August Holmgren"
"Laslo Djere"
"Gianluigi Quinzi"
"Amine Ahouda"
"Yannick Hanfmann"
"Benjamin Bonzi"
"Stefano Napolitano"
"Daniel Altmaier"
"Cameron Norrie"
"Sebastian Ofner"
"Akira Santillan"
"Attila Balazs"
"Christopher Eubanks"
"Gleb Sakharov"
"Miljan Zekic"
"Evan King"
"Tennys Sandgren"
"Mitchell Krueger"
"Stefano Travaglia"
"Markus Eriksson"
"Viktor Galovic"
"Yannick Maden"
"Stefanos Tsitsipas"
"Michael Mmoh"
"Matteo Berrettini"
"Ricardo Ojeda Lara"
"Mackenzie Mcdonald"
"Maximilian Marterer"
"Lorenzo Sonego"
"Cristian Rodriguez"
"Joao Pedro Sorgi"
"Zsombor Piros"
"Marc Andrea Huesler"
"Pedja Krstin"
"Luis Diego Chavez Villalpando"
"Karim Mohamed Maamoun"
"Youssef Hossam"
"Rodrigo Arus"
"Anthony Jackie Tang"
"Skyler Butts"
"Peter Bothwell"
"Benjamin Hassan"
"Chun Hsin Tseng"
"John Bryan Decasa Otico"
"Luis Patino"
"Ugo Nastasi"
"Bogdan Borza"
"Emil Ruusuvuori"
"Sarp Agabigun"
"Carlos Taberner"
"Corentin Moutet"
"Tallon Griekspoor"
"Guilherme Clezar"
"Felix Auger Aliassime"
"Nicola Kuhn"
"Yshai Oliel"
"Khumoun Sultanov"
"Holger Rune"
"Gerardo Lopez Villasenor"
"Daniel Michalski"
"Dragos Dima"
"Edris Fetisleam"
"Palaphoom Kovapitukted"
"Francisco Llanes"
"Alexey Vatutin"
"Bernabe Zapata Miralles"
"Federico Coria"
"Filip Horansky"
"Alex Bolt"
"Rudolf Molleker"
"Jay Clarke"
"Jason Jung"
"Christian Harrison"
"Oriol Roca Batalla"
"Daniel Masur"
"Marcos Giron"
"Dominik Koepfer"
"Ugo Humbert"
"Jurabek Karimov"
"Yosuke Watanuki"
"Jonathan Mridha"
"Constant Lestienne"
"Salvatore Caruso"
"Oscar Otte"
"Alexei Popyrin"
"Miomir Kecmanovic"
"Juan Ignacio Londero"
"Pedro Cachin"
"Antoine Hoang"
"Brayden Schnur"
"Gregoire Barrere"
"Thiago Seyboth Wild"
"Jannik Sinner"
"Alejandro Davidovich Fokina"
"Elliot Benchetrit"
"Kevin Krawietz"
"Nino Serdarusic"
"Soon Woo Kwon"
"Kevin King"
"Gian Marco Moroni"
"Marc Polmans"
"Duck Hee Lee"
"Jenson Brooksby"
"Alen Avidzba"
"Gianluca Mager"
"Cayetano March"
"Ji Sung Nam"
"Sanjar Fayziev"
"Jonas Forejtek"
"Sandro Ehrat"
"Ajeet Rai"
"Rhett Purcell"
"Ari Fahresi"
"Tung Lin Wu"
"Aleksandre Metreveli"
"Filip Cristian Jianu"
"Philip Henning"
"Kacper Zuk"
"Pedro Martinez"
"Alejandro Tabilo"
"Roberto Marcora"
"Brandon Nakashima"
"Carlos Alcaraz"
"Maxime Cressy"
"J J Wolf"
"Christopher Oconnell"
"Sumit Nagal"
"Lorenzo Musetti"
"Jurij Rodionov"
"Lorenzo Giustino"
"Hugo Gaston"
"Sebastian Korda"
"Danilo Petrovic"
"Andrea Pellegrino"
"Roman Safiullin"
"Borna Gojo"
"Roberto Cid"
"Patrik Niklas Salminen"
"Otto Virtanen"
"Lukas Hellum Lilleengen"
"Daniel Cukierman"
"Finn Tearney"
"Alexander Donski"
"Blaise Bicknell"
"Kristjan Tamm"
"Daniil Glinka"
"Gunawan Trismuwantara"
"Robert Strombachs"
"Adam Moundir"
"Aissa Benchakroun"
"Adolfo Daniel Vallejo"
"Martin Antonio Vergara Del Puerto"
"Petros Tsitsipas"
"Maks Kasnikowski"
"Hazem Naw"
"Zizou Bergs"
"Tomas Machac"
"Max Purcell"
"Jack Draper"
"Arthur Rinderknech"
"Vit Kopriva"
"Alexander Erler"
"Mario Vilella Martinez"
"Dominic Stricker"
"Arthur Cazaux"
"Aleksandar Vukic"
"Alex Molcan"
"Sebastian Baez"
"Botic Van De Zandschulp"
"Andrea Vavassori"
"Duje Ajdukovic"
"Francisco Cerundolo"
"Lukas Klein"
"Enzo Couacaud"
"Zachary Svajda"
"Alexandre Muller"
"Nuno Borges"
"Juan Manuel Cerundolo"
"Dane Sweeny"
"Tomas Martin Etcheverry"
"Timofey Skatov"
"Adrian Andreev"
"Hugo Grenier"
"Andrew Harris"
"Harry Bourchier"
"Flavio Cobolli"
"Mats Moraing"
"Daniil Ostapenkov"
"Murkel Alejandro Dellien Velasco"
"Michael Geerts"
"Orlando Luz"
"Felipe Meligeni Alves"
"Matheus Pucinelli De Almeida"
"Kaichi Uchida"
"Yuta Shimizu"
"Aziz Dougaz"
"Aziz Ouakaa"
"Justin Barki"
"Nick Hardt"
"Alexandros Skorilas"
"Tom Kocevar Desman"
"Bor Artnak"
"Hernando Jose Escurra Isnardi"
"Jerome Kym"
"Kasidit Samrej"
"Ergi Kirkin"
"Michail Pervolarakis"
"Juan Pablo Ficovich"
"Jiri Lehecka"
"Gijs Brouwer"
"Pavel Kotov"
"Johan Nikles"
"Manuel Guinard"
"Camilo Ugo Carabelli"
"Zdenek Kolar"
"Tim Van Rijthoven"
"Ryan Peniston"
"Alastair Gray"
"Alexander Ritschard"
"Andres Martin"
"Ben Shelton"
"Filip Misolic"
"Giulio Zeppieri"
"Franco Agamenone"
"Rinky Hijikata"
"Juan Alejandro Hernandez Serrano"
"Emilio Nava"
"Brandon Holt"
"Aleksandar Kovacevic"
"Luca Nardi"
"Rio Noguchi"
"Francesco Passaro"
"Nicolas Alvarez Varona"
"Luis Carlos Alvarez Valdes"
"Nicolas Mejia"
"Nicolas Barrientos"
"Eero Vasa"
"Sho Shimabukuro"
"Sergey Fomin"
"Nicholas David Ionel"
"Diego Fernandez Flores"
"Simon Carr"
"Osgar Ohoisin"
"Yuttana Charoenphon"
"Johannes Ingildsen"
"Elmer Moller"
"Karlis Ozolins"
"Valentin Vacherot"
"Ainius Sabaliauskas"
"Olaf Pieczkowski"
"Matic Kriznik"
"Coleman Wong"
"Rigele Te"
"Amr Elsayed Abdou Ahmed Mohamed"
"Rowland Phillips"
"Aristotelis Thanos"
"Sylvestre Monnou"
"Stefanos Sakellaridis"
"Dalibor Svrcina"
"Juncheng Shang"
"Luciano Darderi"
"Arthur Fils"
"Matija Pecotic"
"Facundo Diaz Acosta"
"Leandro Riedi"
"Jacopo Berrettini"
"Riccardo Bonadio"
"Luca Van Assche"
"Ivan Gakhov"
"Matteo Arnaldi"
"Alexander Shevchenko"
"Abedallah Shelbayh"
"Fabian Marozsan"
"Pablo Llamas Ruiz"
"Genaro Alberto Olivieri"
"Thiago Agustin Tirante"
"Harold Mayot"
"Jan Choinski"
"Hamad Medjedovic"
"Leo Borg"
"Alex Michelsen"
"Ethan Quinn"
"Li Tu"
"Dino Prizmic"
"Gabriel Diallo"
"Omni Kumar"
"Yu Hsiou Hsu"
"Titouan Droguet"
"Jakub Mensik"
"Philip Sekulic"
"Alibek Kachmazov"
"Beibit Zhukayev"
"Terence Atmane"
